Op,Size,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,TimeAvg
Received,1,20218,20209,20207,20211,20213,20220,20208,20218,20216,20207,20212.7
Received,2,30,30,30,18,31,24,34,21,31,28,27.7
Received,4,7,6,2,2,2,2,2,2,7,2,3.4
Received,8,40,34,58,108,41,66,35,61,32,64,53.9
Received,16,1,1,1,1,1,1,1,1,1,1,1
Received,32,10,9,1,1,44,1,9,0,9,1,8.5
Received,64,1,1,1,1,1,1,1,1,1,1,1
Received,128,14,18,25,1,28,1,22,14,14,1,13.8
Received,256,1,1,1,0,1,10,1,1,1,39,5.6
Received,512,62,0,68,27,10,102,9,85,16,1,38
Received,1024,1,53,1,1,22,1,13,1,1,1,9.5
Received,2048,34,126,82,1,38,0,70,1,130,54,53.6
Received,4096,50,1,1,88,217,1,165,128,1,152,80.4
Received,8192,144,89,113,2,2,86,2,2,120,3,56.3
Received,16384,105,119,212,237,105,200,161,195,103,192,162.9
Received,32768,263,278,246,193,239,198,180,205,294,221,231.7
Received,65536,744,719,773,733,750,745,736,745,739,724,740.8
Received,131072,1282,1284,1270,1283,1262,1273,1283,1277,1276,1270,1276
Received,262144,2389,2409,2390,2381,2393,2395,2389,2386,2381,2389,2390.2
Received,524288,4620,4614,4625,4627,4619,4607,4621,4617,4616,4613,4617.9
Received,1048576,9078,9082,9063,9093,9076,9077,9080,9077,9079,9073,9077.8
Received,2097152,17989,17996,17987,18011,17999,17979,18002,17981,17992,18003,17993.9
Send,1,20001,20038,19973,19890,19965,19979,19928,19979,20000,19927,19968
Send,2,11,9,10,10,11,9,10,9,11,10,10
Send,4,11,7,6,6,7,12,6,7,12,7,8.1
Send,8,9,9,10,4,10,7,10,9,4,9,8.1
Send,16,3,3,2,2,3,3,3,3,3,5,3
Send,32,7,4,4,2,8,2,4,4,4,2,4.1
Send,64,11,10,10,4,24,5,10,23,10,5,11.2
Send,128,11,10,12,3,10,19,10,12,8,7,10.2
Send,256,10,13,11,12,9,10,13,12,10,9,10.9
Send,512,9,18,10,5,9,10,29,9,8,12,11.9
Send,1024,8,10,8,8,29,3,9,26,12,10,12.3
Send,2048,24,10,24,15,12,30,35,10,10,10,18
Send,4096,12,14,11,6,39,12,12,9,34,11,16
Send,8192,13,20,13,14,23,27,16,22,35,32,21.5
Send,16384,69,39,23,30,45,27,26,26,36,26,34.7
Send,32768,43,31,54,32,27,50,56,25,31,58,40.7
Send,65536,622,693,678,748,632,627,607,623,683,650,656.3
Send,131072,759,721,1027,772,1006,754,741,754,752,747,803.3
Send,262144,1340,2370,1870,1345,1069,1520,1342,1341,1335,1321,1485.3
Send,524288,3246,3901,3897,3049,4442,2318,4326,3299,2533,3171,3418.2
Send,1048576,7269,8604,6080,7455,6877,8089,6898,7211,4816,6945,7024.4
Send,2097152,13166,17816,16145,13703,13937,13066,14020,13256,9620,16217,14094.6
