Received,1,20220
Received,2,24
Received,4,2
Sent,1,19979
Sent,2,9
Received,8,66
Received,16,1
Received,32,1
Sent,4,12
Sent,8,7
Received,64,1
Received,128,1
Received,256,10
Sent,16,3
Sent,32,2
Sent,64,5
Sent,128,19
Sent,256,10
Sent,512,10
Sent,1024,3
Received,512,102
Received,1024,1
Received,2048,0
Received,4096,1
Sent,2048,30
Sent,4096,12
Sent,8192,27
Received,8192,86
Sent,16384,27
Sent,32768,50
Received,16384,200
Received,32768,198
Sent,65536,627
Received,65536,745
Sent,131072,754
Received,131072,1273
Sent,262144,1520
Received,262144,2395
Sent,524288,2318
Received,524288,4607
Sent,1048576,8089
Received,1048576,9077
Sent,2097152,13066
Received,2097152,17979
