Received,1,20215
Received,2,22
Received,4,7
Sent,1,19949
Sent,2,9
Received,8,53
Received,16,1
Received,32,1
Sent,4,6
Sent,8,10
Sent,16,3
Received,64,13
Received,128,14
Received,256,1
Sent,32,4
Sent,64,10
Sent,128,10
Sent,256,12
Received,512,50
Received,1024,1
Sent,512,10
Received,2048,34
Sent,1024,8
Sent,2048,11
Received,4096,57
Sent,4096,28
Sent,8192,13
Sent,16384,37
Received,8192,188
Sent,32768,25
Received,16384,108
Received,32768,197
Sent,65536,638
Received,65536,726
Sent,131072,739
Received,131072,1262
Sent,262144,1610
Received,262144,2398
Sent,524288,3084
Received,524288,4627
Sent,1048576,8112
Received,1048576,9071
Sent,2097152,14022
Received,2097152,17991
