n,p,precision,time
1024,1,0.403821,0.048655
2048,1,0.404388,0.104942
4096,1,0.186226,0.169088
8192,1,0.062453,0.330263
16384,1,0.046911,0.649469
32768,1,0.007488,1.342312
65536,1,0.013883,2.531864
131072,1,0.009998,5.305713
262144,1,0.008459,10.46994
524288,1,0.007245,21.258467
1048576,1,0.000284,43.291197
2097152,1,0.001052,85.859164
4194304,1,0.003147,162.066315
8388608,1,0.000481,343.889206
16777216,1,0.000891,691.839992
33554432,1,0.000635,1368.873013
67108864,1,0.000405,2604.791005
134217728,1,0.000001,5446.499479
268435456,1,0.000403,10824.88289
536870912,1,0.000104,21291.41918
1073741824,1,0.000056,43130.94641
1024,2,0.342218,0.113792
2048,2,0.030801,0.141611
4096,2,0.217311,0.203526
8192,2,0.248963,0.277592
16384,2,0.031369,0.443318
32768,2,0.035254,0.795218
65536,2,0.087143,1.446858
131072,2,0.000688,2.667849
262144,2,0.056058,5.434712
524288,2,0.001012,10.697682
1048576,2,0.000202,21.153935
2097152,2,0.004756,42.978593
4194304,2,0.001659,85.726655
8388608,2,0.000435,173.504483
16777216,2,0.001392,335.708902
33554432,2,0.000232,669.756068
67108864,2,0.000079,1384.575076
134217728,2,0.000436,2718.323948
268435456,2,0.000167,5358.829923
536870912,2,0.000128,10936.97353
1073741824,2,0.000035,21514.51546
1024,4,1.895898,0.209289
2048,4,0.092971,0.178337
4096,4,0.341651,0.231241
8192,4,0.030801,0.252343
16384,4,0.069658,0.360426
32768,4,0.105195,0.514275
65536,4,0.050797,0.863167
131072,4,0.023597,1.542709
262144,4,0.001255,2.811204
524288,4,0.01283,5.543952
1048576,4,0.007852,15.676496
2097152,4,0.004331,21.696112
4194304,4,0.001407,41.627967
8388608,4,0.000339,85.170429
16777216,4,0.000103,171.287865
33554432,4,0.003095,345.854988
67108864,4,0.000058,662.883493
134217728,4,0.000565,1368.710998
268435456,4,0.000293,2714.21741
536870912,4,0.000204,5503.292786
1073741824,4,0.000042,10910.38255
1024,8,2.641937,5.216908
2048,8,0.280048,6.592155
4096,8,4.196752,6.693864
8192,8,0.108514,6.851249
16384,8,0.210107,6.610216
32768,8,0.011373,5.292169
65536,8,0.126566,5.839517
131072,8,0.019145,6.316441
262144,8,0.025459,7.819056
524288,8,0.007973,10.023963
1048576,8,0.000202,13.873571
2097152,8,0.004573,23.14167
4194304,8,0.005353,38.922021
8388608,8,0.001862,52.732014
16777216,8,0.000255,94.795384
33554432,8,0.003651,181.440915
67108864,8,0.000291,344.219589
134217728,8,0.000072,693.063367
268435456,8,0.000328,1383.696541
536870912,8,0.000073,2782.430253
1073741824,8,0.000161,5469.153019
